NextCloudPi NextcloudPi
apt_install AptInstall
check_distro checkDistro
cleanup_script cleanupScript
clear_opcache clearOpCache
clear_password_fields clearPasswordFields
configure_app configureApp
find_app_param findAppParam
find_app_param_num findAppParamNumber
get_ip getIP
get_nc_config_value getNextcloudConfigValue
get_ncpcfg getNcpConfig
info_app infoApp
install_app installApp
install_template installTemplate
install_with_shadow_workaround installWithShadowWorkaround
is_active_app isAppActive
is_an_ip isIP
is_app_enabled isAppEnabled
is_docker isDocker
is_lxc isLXC
is_more_recent_than isMoreRecent
is_ncp_activated isNcpActivated
nc_version verNextcloud
needs_decrypt needsDecryption
notify_admin notifyAdmin
persistent_cfg persistConfiguration
restore_maintenance_mode restoreMaintenanceMode
run_app runApp
run_app_unsafe runAppUnsafe
save_maintenance_mode saveMaintenanceMode
set-nc-domain setNextcloudDomain
set_app_param setAppParam
set_ncpcfg setNcpConfig
start_notify_push startNotifyPush
clean_chroot_raspbian cleanChroot
copy_to_image copyToImage
create_torrent createTorrent
deactivate_unattended_upgrades deactivateUnattendedUpgrades
download_raspbian downloadRaspberryOS
generate_changelog genChangelog
launch_install_qemu launchInstallQEMU
launch_installation launchInstallation
launch_installation_online launchInstallationOnline
launch_installation_qemu launchInstallationQEMU
launch_qemu launchQEMU
mount_raspbian mountRoot
mount_raspbian_boot mountBoot
pack_image packImage
prepare_chroot_raspbian prepareChrootRPi
prepare_dirs prepareDirectories
prepare_sshd_raspbian prepareSSHD
resize_image resizeIMG
set_static_IP setStaticIP
ssh_pi sshPi
test_docker isDocker
test_lxc isLXC
test_vm isVM
umount_raspbian unmountRPi
update_boot_uuid updateBootUUID
upload_docker uploadDocker
upload_ftp uploadFTP
upload_images uploadImages
wait_SSH waitSSH
